의도,문장,답변,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절,연령대,성별,지역,인원수,월,음식종류,구매주기,상품목록,계절
추천,서울에서 잘 팔리는 상품은?,"서울에서 ‘[애슐리] 오리지널 통살치킨(소스 포함) 2종 (택1)’, ‘[프레시지] 밀푀유나베’, ‘[햇반] 작은햇반 130g*6입’ 메뉴가 특히 인기가 많아요.",,,서울,,,,,"[애슐리] 오리지널 통살치킨(소스 포함) 2종 (택1), [프레시지] 밀푀유나베, [햇반] 작은햇반 130g*6입",,,,서울,,,,,,
추천,2인에서 잘 팔리는 상품은?,"2인에서 요즘 가장 많이 찾는 메뉴는 ‘[라이틀리] 매콤해물 곤약 볶음밥 (4개입)’, ‘[아우름] 소고기 가득 솥밥키트’, ‘[청정원] 순살바삭 자메이카스타일치킨 300g’예요.",,,,2인,,,,"[라이틀리] 매콤해물 곤약 볶음밥 (4개입), [아우름] 소고기 가득 솥밥키트, [청정원] 순살바삭 자메이카스타일치킨 300g",,,,,,,,,,
추천,다이어트에서 추천해줘,"다이어트에서는 최근 ‘[콜린스 다이닝] 구운 채소 샐러드’, ‘[세끼판다] 샐러드판다의 삼시세끼 샐러드 10종 (리뉴얼)’, ‘[탄단지] 세끼 뚝딱 도시락 3종 세트 시즌2’가 인기 급상승 중입니다.",,,,,,,,"[콜린스 다이닝] 구운 채소 샐러드, [세끼판다] 샐러드판다의 삼시세끼 샐러드 10종 (리뉴얼), [탄단지] 세끼 뚝딱 도시락 3종 세트 시즌2",,,,,,,,,,
추천,20대에서 추천해줘,"20대에서 추천드릴 만한 메뉴는 ‘[황생가] 칼국수(2인분)’, ‘오트밥 오리지널 50g x 10개입’, ‘[어리틀빗] 웜그레인 샐러드 7종 (택1)’예요.",20대,,,,,,,"[황생가] 칼국수(2인분), 오트밥 오리지널 50g x 10개입, [어리틀빗] 웜그레인 샐러드 7종 (택1)",,20대,,,,,,,,
추천,경북에서 잘 팔리는 상품은?,"경북 고객님들께 ‘[명가교동짬뽕] 고기가득 쟁반짜장’, ‘[미로식당] 쌀 떡볶이 (1봉/2봉) (택1)’, ‘[네니아] 군만두’를 추천합니다.",,,경북,,,,,"[명가교동짬뽕] 고기가득 쟁반짜장, [미로식당] 쌀 떡볶이 (1봉/2봉) (택1), [네니아] 군만두",,,,경북,,,,,,
추천,2인에서 인기 있는 메뉴는?,"2인에서는 ‘[맥케인] 스마일 624g’, ‘[위드진해] 곱창전골’, ‘[올반] 새우볶음밥 (4개입)’가 만족도가 높아요.",,,,2인,,,,"[맥케인] 스마일 624g, [위드진해] 곱창전골, [올반] 새우볶음밥 (4개입)",,,,,,,,,,
트렌드,서울 소비 트렌드는?,서울에서 소비자들은 품질과 건강을 모두 고려하는 트렌드를 보여주고 있어요.,,,서울,,,,,,,,,서울,,,,,,
추천,2인에서 인기 있는 메뉴는?,"2인에서 요즘 자주 찾는 메뉴는 ‘[청정원] 매콤달콤 고구마떡볶이’, ‘[호밍스] 얼큰 김치만두전골’, ‘[소반옥] 사골 떡 만둣국 (2인분)’입니다.",,,,2인,,,,"[청정원] 매콤달콤 고구마떡볶이, [호밍스] 얼큰 김치만두전골, [소반옥] 사골 떡 만둣국 (2인분)",,,,,,,,,,
추천,6월에서 잘 팔리는 상품은?,"요즘 6월에서 많이 찾는 메뉴는 ‘[조니스 그로서리] 납작 그래놀라 2종’, ‘[그래놀라 하우스] 여름 한정 망고&파인애플 그래놀라 300g’, ‘[위드진해] 곱창전골’입니다.",,,,,6월,,,"[조니스 그로서리] 납작 그래놀라 2종, [그래놀라 하우스] 여름 한정 망고&파인애플 그래놀라 300g, [위드진해] 곱창전골",,,,,,6월,,,,
추천,혼자에서 인기 있는 메뉴는?,"혼자에서 ‘[빕스] THE BIG 클래식 스테이크’, ‘[애슐리] 더블 페퍼로니 라자냐’, ‘[웬떡] 오곡찰밥’ 메뉴가 특히 인기가 많아요.",,,,혼자,,,,"[빕스] THE BIG 클래식 스테이크, [애슐리] 더블 페퍼로니 라자냐, [웬떡] 오곡찰밥",,,,,,,,,,
추천,충남에서 무엇이 좋을까?,"충남에서 인기 TOP3 메뉴로 ‘[심플잇] 단백질바 미니 168g’, ‘[차려낸] 비법 양념 서울식 소불고기전골’, ‘[정지선의 티엔미미] 홍소우육탕면’를 추천합니다.",,,충남,,,,,"[심플잇] 단백질바 미니 168g, [차려낸] 비법 양념 서울식 소불고기전골, [정지선의 티엔미미] 홍소우육탕면",,,,충남,,,,,,
추천,4월에서 추천해줘,"4월에서 먹기 좋은 메뉴로는 ‘[리틀 후쿠오카] 인기 라멘 3종’, ‘[미로식당] 쌀 떡볶이 (1봉/2봉) (택1)’, ‘[최현석의 쵸이닷] 새우 명란 오일 파스타’가 있습니다.",,,,,4월,,,"[리틀 후쿠오카] 인기 라멘 3종, [미로식당] 쌀 떡볶이 (1봉/2봉) (택1), [최현석의 쵸이닷] 새우 명란 오일 파스타",,,,,,4월,,,,
트렌드,2월 어떤 변화가 있나요?,2월의 소비자들은 맛과 간편함을 모두 추구하는 경향이 강해지고 있습니다.,,,,,2월,,,,,,,,,2월,,,,
추천,4인에서 인기 있는 메뉴는?,"‘[마켓오네이처] 오! 그래놀라 그래놀라팝 4종 (택1)’, ‘[모두의맛집] 오세득의 트러플 머쉬룸 크림 라자냐’, ‘[그리팅] 통살 영양 닭죽’ 메뉴가 4인에서 많은 사랑을 받고 있어요.",,,,4인,,,,"[마켓오네이처] 오! 그래놀라 그래놀라팝 4종 (택1), [모두의맛집] 오세득의 트러플 머쉬룸 크림 라자냐, [그리팅] 통살 영양 닭죽",,,,,,,,,,
추천,1인에서 추천해줘,"1인에서 요즘 가장 많이 찾는 메뉴는 ‘[면사랑] 저당 냉메밀소바 (2인분)’, ‘[비비고] 언양식바싹불고기 460g’, ‘[풀무원] 함흥 비빔냉면 2인분’예요.",,,,1인,,,,"[면사랑] 저당 냉메밀소바 (2인분), [비비고] 언양식바싹불고기 460g, [풀무원] 함흥 비빔냉면 2인분",,,,,,,,,,
추천,경북에서 추천해줘,"경북 고객님들이 즐겨 찾는 메뉴로 ‘[올반] 치킨 데리야끼 볶음밥 (2개입)’, ‘[금미옥] 국물 떡볶이 (2개입)’, ‘[멜팅피스] 야끼만두 590g’를 추천해요.",,,경북,,,,,"[올반] 치킨 데리야끼 볶음밥 (2개입), [금미옥] 국물 떡볶이 (2개입), [멜팅피스] 야끼만두 590g",,,,경북,,,,,,
트렌드,서울 어떤 변화가 있나요?,"서울에서 간편식, 밀키트의 수요가 점점 늘어나는 추세예요.",,,서울,,,,,,,,,서울,,,,,,
트렌드,2월 소비 트렌드는?,2월에서는 가격대와 양을 모두 고려한 실속 메뉴에 대한 선호가 두드러집니다.,,,,,2월,,,,,,,,,2월,,,,
추천,12월에서 잘 팔리는 상품은?,"2월 고객님들이 즐겨 찾는 메뉴로 ‘[스윗밸런스] 타코랩 8종’, ‘[켈로그] 담백한 현미 후레이크 550g’, ‘[My little recipe] 로제찜닭 (2인용)’를 추천해요.",,,,,12월,,,"[스윗밸런스] 타코랩 8종, [켈로그] 담백한 현미 후레이크 550g, [My little recipe] 로제찜닭 (2인용)",,,,,,12월,,,,
트렌드,세종 특징이 있나요?,세종에서는 최근 건강식에 대한 선호도가 뚜렷하게 보입니다.,,,세종,,,,,,,,,세종,,,,,,
추천,1월에서 무엇이 좋을까?,"1월에서는 ‘[햇반] 컵반 덮밥 시리즈 10종’, ‘[광화문 미진] 들기름 메밀국수 (2인분)’, ‘[푸디버디] 새콤달콤 미니 아란치니 토마토’가 꾸준히 인기예요.",,,,,1월,,,"[햇반] 컵반 덮밥 시리즈 10종, [광화문 미진] 들기름 메밀국수 (2인분), [푸디버디] 새콤달콤 미니 아란치니 토마토",,,,,,1월,,,,
추천,광주에서 잘 팔리는 상품은?,"광주에서 요즘 자주 찾는 메뉴는 ‘[샐러드판다] 카프레제 치아바타 샌드위치’, ‘[프로모락] 오트밀 1kg’, ‘[Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g’입니다.",,,광주,,,,,"[샐러드판다] 카프레제 치아바타 샌드위치, [프로모락] 오트밀 1kg, [Kurly's] 샌드위치용 달걀듬뿍 샐러드 500g",,,,광주,,,,,,
추천,30대에서 잘 팔리는 상품은?,"다양하게 즐기고 싶다면 30대에서 ‘[오뚜기] 오즈키친 햄치즈무스비 500g’, ‘[슈퍼너츠] 땅콩버터 그래놀라 150g’, ‘[쉐프스토리] 분모자 로제 떡볶이 (밀키트)’ 메뉴를 추천해요!",30대,,,,,,,"[오뚜기] 오즈키친 햄치즈무스비 500g, [슈퍼너츠] 땅콩버터 그래놀라 150g, [쉐프스토리] 분모자 로제 떡볶이 (밀키트)",,30대,,,,,,,,
추천,밀키트에서 추천해줘,"이용자에서 ‘[My little recipe] 닭볶음탕 (2인용)’, ‘[오쿡] 컵도시락 골라담기 4종 (택1)’, ‘[명인만두] 고기만두 (2개입)’ 메뉴가 특히 인기가 많아요.",,,,,,밀키트,,"[My little recipe] 닭볶음탕 (2인용), [오쿡] 컵도시락 골라담기 4종 (택1), [명인만두] 고기만두 (2개입)",,,,,,,밀키트,,,
트렌드,울산 소비 트렌드는?,울산에서 소비자들은 품질과 건강을 모두 고려하는 트렌드를 보여주고 있어요.,,,울산,,,,,,,,,울산,,,,,,
추천,4월에서 인기 있는 메뉴는?,"4월에서 요즘 가장 많이 찾는 메뉴는 ‘[동원] 퀴진 크리스피 치즈핫도그 400g(80gX5개입)’, ‘[호밍스] 촉촉한 새우물만두 420g’, ‘[비비고] 쌀떡볶이 575g’예요.",,,,,4월,,,"[동원] 퀴진 크리스피 치즈핫도그 400g(80gX5개입), [호밍스] 촉촉한 새우물만두 420g, [비비고] 쌀떡볶이 575g",,,,,,4월,,,,
추천,대경권에서 인기 있는 메뉴는?,"대경권에서 자주 주문되는 메뉴는 ‘[정지선의 티엔미미] 어향가지’, ‘[명인만두] 고기만두 (2개입)’, ‘[간판없는집] 떡듬뿍 매운 소갈비찜’예요.",,,,,,,,"[정지선의 티엔미미] 어향가지, [명인만두] 고기만두 (2개입), [간판없는집] 떡듬뿍 매운 소갈비찜",,,,,,,,,,
트렌드,경남 특징이 있나요?,경남의 소비자들은 맛과 간편함을 모두 추구하는 경향이 강해지고 있습니다.,,,경남,,,,,,,,,경남,,,,,,
트렌드,가을 특징이 있나요?,가을의 소비자들은 맛과 간편함을 모두 추구하는 경향이 강해지고 있습니다.,,,,,,,,,가을,,,,,,,,,가을
트렌드,경남 어떤 변화가 있나요?,경남에서 가족 단위 주문이 늘면서 다양한 패밀리 메뉴가 인기예요.,,,경남,,,,,,,,,경남,,,,,,
추천,5월에서 인기 있는 메뉴는?,"5월에서는 ‘[편스토랑X온더고] 이정현의 대파크림 파스타’, ‘[낭만어시장] 땡초 넣은 모듬 조개탕’, ‘[애슐리] 베이컨 까르보나라 떡볶이’가 꾸준히 인기예요.",,,,,5월,,,"[편스토랑X온더고] 이정현의 대파크림 파스타, [낭만어시장] 땡초 넣은 모듬 조개탕, [애슐리] 베이컨 까르보나라 떡볶이",,,,,,5월,,,,
추천,세종에서 추천해줘,"세종에서 한 끼 해결하기 좋은 메뉴로 ‘[비비고] 찰보리 감자만두 400gx2개입’, ‘[얌샘김밥] 비빔쫄면 (2인분)’, ‘[멤버스특가][CJ] 평양 물냉면(2인분)’를 추천드려요.",,,세종,,,,,"[비비고] 찰보리 감자만두 400gx2개입, [얌샘김밥] 비빔쫄면 (2인분), [멤버스특가][CJ] 평양 물냉면(2인분)",,,,세종,,,,,,
추천,20대에서 인기 있는 메뉴는?,"20대에서 추천드릴 만한 메뉴는 ‘[정지선의 티엔미미] 인기 완탕면 4종’, ‘[존쿡델리미트] 잠봉뵈르 샌드위치 (2개입)’, ‘[두찜] 납작면 닭갈비’예요.",20대,,,,,,,"[정지선의 티엔미미] 인기 완탕면 4종, [존쿡델리미트] 잠봉뵈르 샌드위치 (2개입), [두찜] 납작면 닭갈비",,20대,,,,,,,,
추천,5인 이상에서 추천해줘,"5인 이상 고객님들께 ‘[동원] 양반 비빔드밥 비빔밥 3종 (택1)’, ‘[포스트] 에너지바 3종 골라담기 (택3)’, ‘[Picard] 유기농 감자프라이’를 추천합니다.",,,,5인 이상,,,,"[동원] 양반 비빔드밥 비빔밥 3종 (택1), [포스트] 에너지바 3종 골라담기 (택3), [Picard] 유기농 감자프라이",,,,,5인 이상,,,,,
추천,충북에서 인기 있는 메뉴는?,"충북에서는 ‘[죠스떡볶이] 한입 쌀떡볶이’, ‘[그리팅] 감바스 알아히요’, ‘[조이풀메이드] 발효 곤약밥 6개입 3종 (택1)’가 꾸준히 인기예요.",,,충북,,,,,"[죠스떡볶이] 한입 쌀떡볶이, [그리팅] 감바스 알아히요, [조이풀메이드] 발효 곤약밥 6개입 3종 (택1)",,,,충북,,,,,,
추천,울산에서 인기 있는 메뉴는?,"울산에서는 ‘[1+1][바람의 핫도그] 치즈&포크 400g (100gX4개입)’, ‘[전주 베테랑] 만두 골라담기(택1)’, ‘[풀무원] 한입쌀교자 310gx3개입’가 만족도가 높아요.",,,울산,,,,,"[1+1][바람의 핫도그] 치즈&포크 400g (100gX4개입), [전주 베테랑] 만두 골라담기(택1), [풀무원] 한입쌀교자 310gx3개입",,,,울산,,,,,,
추천,구입주기에 많이 먹는 메뉴 추천해줘,"이용자에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[일상식탁] 부산식 얼큰 낙곱새’, ‘[프레시지] 바질크림빠네파스타’, ‘[모터시티] 디트로이트 피자 4종’를 추천드려요.",,,,,,,구입주기,"[일상식탁] 부산식 얼큰 낙곱새, [프레시지] 바질크림빠네파스타, [모터시티] 디트로이트 피자 4종",,,,,,,,구입주기,,
추천,대전에서 추천해줘,"대전에서 인기 TOP3 메뉴로 ‘[오뚜기]옛날국수_강황소면 900G’, ‘최현석의 우삼겹 마라크림 짬뽕’, ‘[그라놀로지] 시그니처 저당 프로틴 그래놀라 340g’를 추천합니다.",,,대전,,,,,"[오뚜기]옛날국수_강황소면 900G, 최현석의 우삼겹 마라크림 짬뽕, [그라놀로지] 시그니처 저당 프로틴 그래놀라 340g",,,,대전,,,,,,
트렌드,세종 특징이 있나요?,세종에서 소비자들은 품질과 건강을 모두 고려하는 트렌드를 보여주고 있어요.,,,세종,,,,,,,,,세종,,,,,,
트렌드,1월 소비 트렌드는?,요즘 1월에선 다양한 카테고리의 인기가 높아지고 있습니다.,,,,,1월,,,,,,,,,1월,,,,
추천,3월에서 추천해줘,"요즘 3월에서 많이 찾는 메뉴는 ‘[닥터로빈] 저당 토마토 비프 라자냐’, ‘[세이면] 국산열무 김치말이 국수 (2인분)’, ‘[라이스웰] 황동판에 구운 찹쌀누룽지’입니다.",,,,,3월,,,"[닥터로빈] 저당 토마토 비프 라자냐, [세이면] 국산열무 김치말이 국수 (2인분), [라이스웰] 황동판에 구운 찹쌀누룽지",,,,,,3월,,,,
트렌드,충청권 특징이 있나요?,충청권에서는 외식 대신 집에서 간편하게 즐길 수 있는 상품들이 큰 인기를 끌고 있습니다.,,,,,,,,,,,,,,,,,,
추천,40대에서 무엇이 좋을까?,"40대에서 트렌디하게 즐기는 메뉴로 ‘[그라놀로지] 시그니처 저당 프로틴 그래놀라 340g’, ‘[마니커에프앤지] 버팔로닭다리골드’, ‘[한성] 프리미엄 김밥세트S’를 추천합니다.",40대,,,,,,,"[그라놀로지] 시그니처 저당 프로틴 그래놀라 340g, [마니커에프앤지] 버팔로닭다리골드, [한성] 프리미엄 김밥세트S",,40대,,,,,,,,
추천,혼자에서 인기 있는 메뉴는?,"혼자에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[오마뎅] 매콤한 우리쌀 가래떡 국물떡볶이’, ‘[사세] 버팔로 윙 골드 1kg’, ‘[비비고] 납작교자 3종 315gx2개입’를 추천드려요.",,,,혼자,,,,"[오마뎅] 매콤한 우리쌀 가래떡 국물떡볶이, [사세] 버팔로 윙 골드 1kg, [비비고] 납작교자 3종 315gx2개입",,,,,,,,,,
추천,5월에서 인기 있는 메뉴는?,"5월 고객님들이 즐겨 찾는 메뉴로 ‘[동원] 양반 현미밥 130g (24입)’, ‘[풀무원] 식물성 지구식단 유니짜장면 2인분’, ‘[홍신애] 평양냉면’를 추천해요.",,,,,5월,,,"[동원] 양반 현미밥 130g (24입), [풀무원] 식물성 지구식단 유니짜장면 2인분, [홍신애] 평양냉면",,,,,,5월,,,,
트렌드,호남권 소비 트렌드는?,호남권에서는 가격대와 양을 모두 고려한 실속 메뉴에 대한 선호가 두드러집니다.,,,,,,,,,,,,,,,,,,
추천,대경권에서 추천해줘,"대경권에서는 ‘[하이디라오소스로 만든] 마라탕 2인분’, ‘[사세] 바삭한 치킨너겟’, ‘[정지선의 티엔미미] 총유면’가 만족도가 높아요.",,,,,,,,"[하이디라오소스로 만든] 마라탕 2인분, [사세] 바삭한 치킨너겟, [정지선의 티엔미미] 총유면",,,,,,,,,,
추천,호남권에서 인기 있는 메뉴는?,"호남권에서 트렌디하게 즐기는 메뉴로 ‘[햇반] 현미쌀밥 210g*36입’, ‘[피자로빈슨] 통옥수수 쉬림프’, ‘[햇반] 유기농쌀밥 130G*3’를 추천합니다.",,,,,,,,"[햇반] 현미쌀밥 210g*36입, [피자로빈슨] 통옥수수 쉬림프, [햇반] 유기농쌀밥 130G*3",,,,,,,,,,
추천,제주에서 추천해줘,"제주에서 자주 주문되는 메뉴는 ‘[미아논나] 당근라페 바게트 샌드위치’, ‘[남도분식] 라볶이’, ‘[고메] 소바바치킨 소이허니 3종 (택1)’예요.",,,제주,,,,,"[미아논나] 당근라페 바게트 샌드위치, [남도분식] 라볶이, [고메] 소바바치킨 소이허니 3종 (택1)",,,,제주,,,,,,
추천,20대에서 잘 팔리는 상품은?,"20대에서는 최근 ‘[크리스탈제이드] 오리지널 쇼마이’, ‘[마이셰프] 든든한 장어구이 덮밥 키트 2인분’, ‘[마니커F&G] 케이준치킨텐더’가 인기 급상승 중입니다.",20대,,,,,,,"[크리스탈제이드] 오리지널 쇼마이, [마이셰프] 든든한 장어구이 덮밥 키트 2인분, [마니커F&G] 케이준치킨텐더",,20대,,,,,,,,
트렌드,3월 어떤 변화가 있나요?,3월 고객층의 신제품에 대한 관심이 꾸준히 증가하고 있습니다.,,,,,3월,,,,,,,,,3월,,,,
추천,한식에서 인기 있는 메뉴는?,"한식에서 인기 TOP3 메뉴로 ‘[김구원선생] 두부 김치 콩나물국’, ‘[제일맞게컬리] 김치베이컨 현미곤약 주먹밥’, ‘[호밍스] 김치어묵 우동전골’를 추천합니다.",,,,,,,,"[김구원선생] 두부 김치 콩나물국, [제일맞게컬리] 김치베이컨 현미곤약 주먹밥, [호밍스] 김치어묵 우동전골",,,,,,,,,,
추천,수도권에서 인기 있는 메뉴는?,"수도권에서는 최근 ‘[청정원] 그레인보우 저당 도시락 4종 (택1)’, ‘[쵸이닷:직원食당] 이태원식 부대찌개’, ‘[비비고] 군만두 450Gx2개입’가 인기 급상승 중입니다.",,,,,,,,"[청정원] 그레인보우 저당 도시락 4종 (택1), [쵸이닷:직원食당] 이태원식 부대찌개, [비비고] 군만두 450Gx2개입",,,,,,,,,,
추천,봄에서 잘 팔리는 상품은?,"봄의 베스트셀러 메뉴는 ‘[레디블룸] 저당 프로틴 그래놀라 3종 (택1)’, ‘[모두의맛집] 오세득의 트러플 머쉬룸 크림 라자냐’, ‘김치듬뿍 한돈 제육볶음’입니다.",,,,,,,,"[레디블룸] 저당 프로틴 그래놀라 3종 (택1), [모두의맛집] 오세득의 트러플 머쉬룸 크림 라자냐, 김치듬뿍 한돈 제육볶음",봄,,,,,,,,,봄
추천,30대에서 무엇이 좋을까?,"30대에서 인기있는 메뉴로 ‘[일상식탁] 소고기 된장전골’, ‘[애플하우스] 즉석 떡볶기’, ‘[슈퍼너츠] 땅콩버터 그래놀라 150g’를 추천드려요.",30대,,,,,,,"[일상식탁] 소고기 된장전골, [애플하우스] 즉석 떡볶기, [슈퍼너츠] 땅콩버터 그래놀라 150g",,30대,,,,,,,,
트렌드,호남권 특징이 있나요?,호남권에서 최근 간편식/밀키트 소비가 꾸준히 늘고 있습니다.,,,,,,,,,,,,,,,,,,
추천,대경권에서 무엇이 좋을까?,"대경권에서 인기있는 메뉴로 ‘[리틀 비엣남] 소고기 쌀국수 2인분’, ‘[장터만두] 시장 고기 만두 840g’, ‘[1+1][바람의 핫도그] 치즈&포크 400g (100gX4개입)’를 추천드려요.",,,,,,,,"[리틀 비엣남] 소고기 쌀국수 2인분, [장터만두] 시장 고기 만두 840g, [1+1][바람의 핫도그] 치즈&포크 400g (100gX4개입)",,,,,,,,,,
트렌드,전남 특징이 있나요?,전남에서는 외식 대신 집에서 간편하게 즐길 수 있는 상품들이 큰 인기를 끌고 있습니다.,,,전남,,,,,,,,,전남,,,,,,
트렌드,충북 어떤 변화가 있나요?,"충북에서는 계절별, 연령별로 선호 메뉴에 차이가 있어요.",,,충북,,,,,,,,,충북,,,,,,
추천,봄에서 무엇이 좋을까?,"봄에서 자주 주문되는 메뉴는 ‘[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택)’, ‘[오뚜기] 오뚜기밥 잡곡 3종’, ‘[더라이스] 공밥 2종’예요.",,,,,,,,"[또보겠지떡볶이집] 떡볶이 1봉/2봉 (맵기선택), [오뚜기] 오뚜기밥 잡곡 3종, [더라이스] 공밥 2종",봄,,,,,,,,,봄
트렌드,40대 소비 트렌드는?,"40대에서는 최근 프리미엄 메뉴, 고단백·저칼로리 메뉴에 대한 관심도 높아요.",40대,,,,,,,,,40대,,,,,,,,
추천,2인에서 인기 있는 메뉴는?,"다양하게 즐기고 싶다면 2인에서 ‘[네이쳐패스] 러브크런치 애플 앤 치아’, ‘[하림] 통살 유린기’, ‘[니뽕내뽕] 크뽕 (크림 짬뽕)’ 메뉴를 추천해요!",,,,2인,,,,"[네이쳐패스] 러브크런치 애플 앤 치아, [하림] 통살 유린기, [니뽕내뽕] 크뽕 (크림 짬뽕)",,,,,,,,,,
추천,3인에서 인기 있는 메뉴는?,"3인에서 ‘[마이셰프] 찹스테이크’, ‘[푸드어셈블] 사천식 제육볶음’, ‘[맥시칸] 핫크리스피 치킨 2종 (소스 포함)(택1)’ 메뉴가 특히 인기가 많아요.",,,,3인,,,,"[마이셰프] 찹스테이크, [푸드어셈블] 사천식 제육볶음, [맥시칸] 핫크리스피 치킨 2종 (소스 포함)(택1)",,,,,,,,,,
트렌드,3월 어떤 변화가 있나요?,요즘 3월에선 다양한 카테고리의 인기가 높아지고 있습니다.,,,,,3월,,,,,,,,,3월,,,,
추천,세종에서 무엇이 좋을까?,"세종에서 꼭 한 번 드셔보셔야 할 메뉴로 ‘[전주 베테랑] 즉석우동 2인분’, ‘[미식생활] 생오리 주물럭 520g’, ‘[풀무원] 철판 바삭 감자채전 300g’를 추천드려요.",,,세종,,,,,"[전주 베테랑] 즉석우동 2인분, [미식생활] 생오리 주물럭 520g, [풀무원] 철판 바삭 감자채전 300g",,,,세종,,,,,,
추천,제주에서 추천해줘,"제주 고객님들이 즐겨 찾는 메뉴로 ‘[백설] 동그랑땡 750g’, ‘[콜린스다이닝] 찹스테이크’, ‘[누누반] 통 닭가슴살 곤약 도시락 5종 (2개입) (택1)’를 추천해요.",,,제주,,,,,"[백설] 동그랑땡 750g, [콜린스다이닝] 찹스테이크, [누누반] 통 닭가슴살 곤약 도시락 5종 (2개입) (택1)",,,,제주,,,,,,
추천,부산에서 인기 있는 메뉴는?,"부산에서 요즘 가장 많이 찾는 메뉴는 ‘[미자언니네] 고구마 단호박 샐러드’, ‘[방방곡곡] 비빔국수 키트 (2인분)’, ‘[콜린스 다이닝] 문어감자 샐러드’예요.",,,부산,,,,,"[미자언니네] 고구마 단호박 샐러드, [방방곡곡] 비빔국수 키트 (2인분), [콜린스 다이닝] 문어감자 샐러드",,,,부산,,,,,,
추천,2월에서 추천해줘,"2월에서 트렌디하게 즐기는 메뉴로 ‘[비비고] 언양식바싹불고기 460g’, ‘[켈로그] 아몬드 푸레이크 시리얼 600g’, ‘[그릭데이] 넛티놀라 150g’를 추천합니다.",,,,,2월,,,"[비비고] 언양식바싹불고기 460g, [켈로그] 아몬드 푸레이크 시리얼 600g, [그릭데이] 넛티놀라 150g",,,,,,2월,,,,
추천,다이어트에서 추천해줘,"다이어트의 베스트셀러 메뉴는 ‘[한끼통살] 저당 도시락 5종 세트’, ‘[그래놀라 하우스] 그래놀라 500g 리필팩 4종 (택1)’, ‘[그리팅] 헬시에이징 마인드 식단 도시락 5종 (택1)’입니다.",,,,,,,,"[한끼통살] 저당 도시락 5종 세트, [그래놀라 하우스] 그래놀라 500g 리필팩 4종 (택1), [그리팅] 헬시에이징 마인드 식단 도시락 5종 (택1)",,,,,,,,,,
추천,7월에서 인기 있는 메뉴는?,"7월에서 트렌디하게 즐기는 메뉴로 ‘[하림] 킹용가리 770g’, ‘[한반] 불낙전골’, ‘[프레시지] 밀푀유나베’를 추천합니다.",,,,,7월,,,"[하림] 킹용가리 770g, [한반] 불낙전골, [프레시지] 밀푀유나베",,,,,,7월,,,,
추천,한식에서 잘 팔리는 상품은?,"한식에서는 ‘[백채김치찌개] 김치볶음밥 2개입’, ‘[백년밥상] 우삼겹 스지 된장찌개’, ‘[현대옥] 황태콩나물 국밥’가 만족도가 높아요.",,,,,,,,"[백채김치찌개] 김치볶음밥 2개입, [백년밥상] 우삼겹 스지 된장찌개, [현대옥] 황태콩나물 국밥",,,,,,,,,,
추천,10월에서 인기 있는 메뉴는?,"10월에서 트렌디하게 즐기는 메뉴로 ‘[맛있다그랭] 닭가슴살 다이어트 만두 3종(4개입)(택1)’, ‘[마마리] 트러플 바질페스토’, ‘[오뚜기]X.O.교자 3종’를 추천합니다.",,,,,10월,,,"[맛있다그랭] 닭가슴살 다이어트 만두 3종(4개입)(택1), [마마리] 트러플 바질페스토, [오뚜기]X.O.교자 3종",,,,,,10월,,,,
트렌드,수도권 소비 트렌드는?,수도권에서는 한식뿐 아니라 다양한 메뉴의 인기도 꾸준히 증가하고 있습니다.,,,,,,,,,,,,,,,,,,
추천,광주에서 인기 있는 메뉴는?,"광주에서는 ‘[멜팅피스] 모둠튀김 400g’, ‘[미자언니네] 흑임자 연근샐러드’, ‘[비비고] 새우왕교자 315Gx2개입’가 만족도가 높아요.",,,광주,,,,,"[멜팅피스] 모둠튀김 400g, [미자언니네] 흑임자 연근샐러드, [비비고] 새우왕교자 315Gx2개입",,,,광주,,,,,,
추천,한식에서 인기 있는 메뉴는?,"한식에서 인기 TOP3 메뉴로 ‘[스윗밸런스] 오늘의 식단 도시락 6종 (택1)’, ‘[The미식] 익산 황등비빔밥 2인분 210g*2개입’, ‘[일상식탁] 오징어 김치전’를 추천합니다.",,,,,,,,"[스윗밸런스] 오늘의 식단 도시락 6종 (택1), [The미식] 익산 황등비빔밥 2인분 210g*2개입, [일상식탁] 오징어 김치전",,,,,,,,,,
추천,강원에서 잘 팔리는 상품은?,"강원에서 자주 주문되는 메뉴는 ‘[크리스탈제이드] 트러플맛 쇼마이’, ‘[고메공방] 들기름 막국수’, ‘[그릭데이] 넛티놀라 150g’예요.",,,강원,,,,,"[크리스탈제이드] 트러플맛 쇼마이, [고메공방] 들기름 막국수, [그릭데이] 넛티놀라 150g",,,,강원,,,,,,
트렌드,10월 어떤 변화가 있나요?,요즘 10월에선 다양한 카테고리의 인기가 높아지고 있습니다.,,,,,10월,,,,,,,,,10월,,,,
트렌드,대경권 어떤 변화가 있나요?,대경권에선 빠르고 간편하게 먹을 수 있는 메뉴가 주목받고 있어요.,,,,,,,,,,,,,,,,,,
